rule_name,description,split,evaluated_candidates,covered_candidates,coverage_pct,mean_activation,max_activation,mean_priority_score,dominant_queue,dominant_queue_count
TS6,vyvazeny kandidat druhej vlny,test,64,38,59.38,0.4074,1.0,67.248,C_manualna_kuracia,19
TS10,silny a dobre validovatelny kandidat,test,64,21,32.81,0.5825,1.0,80.096,A_validovat,11
TS3,silny signal pri strednom regulacnom kontexte,test,64,14,21.88,0.3501,0.7492,78.706,B_prioritne_preskumat,7
TS4,kontext kompenzuje stredny signal,test,64,13,20.31,0.3729,0.9581,81.792,A_validovat,7
TS1,"silny signal, kontext, evidencia a nizky bias",test,64,9,14.06,0.5618,0.8584,87.289,A_validovat,8
TS2,silny biologicky kontext s pouzitelnou evidenciou,test,64,9,14.06,0.5618,0.8584,87.289,A_validovat,8
TS5,silny signal bez regulacneho kontextu,test,64,9,14.06,0.3377,0.7488,57.143,C_manualna_kuracia,8
TS7,vysoky bias pri slabej alebo strednej evidencii,test,64,3,4.69,0.2059,0.4763,54.496,C_manualna_kuracia,3
